*     (asterisk / astérisque)
\     (back-slash)
,     (comma / virgule)
.     (dot / point)
-     (dash / tiret)
/     (slash)
( )   (parenthesis / parenthèses )
[ ]   (square brackets / crochets)
{ }   (curly bracket / accolades)
_     (underscore)
>     (greater sign / chevron fermant)
<     (less sign / chevron ouvrant)
#     (sharp or hash / dièse)
'     (simple quote, guillemet simple)
"     (double quote, guillemet simple)
`     (back tick quote)
|     (pipe)  (on macOS: option r + shift + L)
;     (semi colon, point virgule)
:     (colon)
~     (tilde)  (on macOS: option r + n)
